Year,m,d,Time,Time zone,Pressure (msl) (hPa)
2018,10,31,00:00,UTC,1019
2018,10,31,00:10,UTC,1018.9
2018,10,31,00:20,UTC,1018.9
2018,10,31,00:30,UTC,1018.9
2018,10,31,00:40,UTC,1018.8
2018,10,31,00:50,UTC,1018.7
2018,10,31,01:00,UTC,1019.1
2018,10,31,01:10,UTC,1019
2018,10,31,01:20,UTC,1018.9
2018,10,31,01:30,UTC,1018.8
2018,10,31,01:40,UTC,1018.7
2018,10,31,01:50,UTC,1018.6
2018,10,31,02:00,UTC,1018.6
2018,10,31,02:10,UTC,1018.5
2018,10,31,02:20,UTC,1018.3
2018,10,31,02:30,UTC,1018
2018,10,31,02:40,UTC,1017.9
2018,10,31,02:50,UTC,1018.1
2018,10,31,03:00,UTC,1018.2
2018,10,31,03:10,UTC,1018
2018,10,31,03:20,UTC,1018
2018,10,31,03:30,UTC,1017.8
2018,10,31,03:40,UTC,1017.8
2018,10,31,03:50,UTC,1017.7
2018,10,31,04:00,UTC,1017.9
2018,10,31,04:10,UTC,1017.6
2018,10,31,04:20,UTC,1017.5
2018,10,31,04:30,UTC,1017.5
2018,10,31,04:40,UTC,1017.6
2018,10,31,04:50,UTC,1017.6
2018,10,31,05:00,UTC,1017.6
2018,10,31,05:10,UTC,1017.6
2018,10,31,05:20,UTC,1017.5
2018,10,31,05:30,UTC,1017.5
2018,10,31,05:40,UTC,1017.6
2018,10,31,05:50,UTC,1017.6
2018,10,31,06:00,UTC,1017.8
2018,10,31,06:10,UTC,1017.6
2018,10,31,06:20,UTC,1017.4
2018,10,31,06:30,UTC,1017
2018,10,31,06:40,UTC,1016.9
2018,10,31,06:50,UTC,1017.4
2018,10,31,07:00,UTC,1017.4
2018,10,31,07:10,UTC,1017.4
2018,10,31,07:20,UTC,1017.8
2018,10,31,07:30,UTC,1017.7
2018,10,31,07:40,UTC,1017.5
2018,10,31,07:50,UTC,1017.4
2018,10,31,08:00,UTC,1017.5
2018,10,31,08:10,UTC,1017.6
2018,10,31,08:20,UTC,1017.6
2018,10,31,08:30,UTC,1017.5
2018,10,31,08:40,UTC,1017.4
2018,10,31,08:50,UTC,1017.2
2018,10,31,09:00,UTC,1017.3
2018,10,31,09:10,UTC,1017.5
2018,10,31,09:20,UTC,1017.4
2018,10,31,09:30,UTC,1017.4
2018,10,31,09:40,UTC,1017.3
2018,10,31,09:50,UTC,1017.6
2018,10,31,10:00,UTC,1017.6
2018,10,31,10:10,UTC,1017.4
2018,10,31,10:20,UTC,1017.2
2018,10,31,10:30,UTC,1017.3
2018,10,31,10:40,UTC,1017.5
2018,10,31,10:50,UTC,1017.5
2018,10,31,11:00,UTC,1017.2
2018,10,31,11:10,UTC,1017.1
2018,10,31,11:20,UTC,1017.2
2018,10,31,11:30,UTC,1017.1
2018,10,31,11:40,UTC,1016.8
2018,10,31,11:50,UTC,1016.9
2018,10,31,12:00,UTC,1016.8
2018,10,31,12:10,UTC,1017
2018,10,31,12:20,UTC,1017
2018,10,31,12:30,UTC,1017.2
2018,10,31,12:40,UTC,1017.2
2018,10,31,12:50,UTC,1017.1
2018,10,31,13:00,UTC,1017.1
2018,10,31,13:10,UTC,1017.3
2018,10,31,13:20,UTC,1017.4
2018,10,31,13:30,UTC,1017.5
2018,10,31,13:40,UTC,1017.6
2018,10,31,13:50,UTC,1017.6
2018,10,31,14:00,UTC,1017.5
2018,10,31,14:10,UTC,1017.6
2018,10,31,14:20,UTC,1017.6
2018,10,31,14:30,UTC,1017.8
2018,10,31,14:40,UTC,1017.9
2018,10,31,14:50,UTC,1018
2018,10,31,15:00,UTC,1018.1
2018,10,31,15:10,UTC,1018
2018,10,31,15:20,UTC,1018.1
2018,10,31,15:30,UTC,1018.1
2018,10,31,15:40,UTC,1018.1
2018,10,31,15:50,UTC,1018.2
2018,10,31,16:00,UTC,1018.3
2018,10,31,16:10,UTC,1018.3
2018,10,31,16:20,UTC,1018.4
2018,10,31,16:30,UTC,1018.5
2018,10,31,16:40,UTC,1018.6
2018,10,31,16:50,UTC,1018.7
2018,10,31,17:00,UTC,1018.7
2018,10,31,17:10,UTC,1018.7
2018,10,31,17:20,UTC,1018.8
2018,10,31,17:30,UTC,1018.9
2018,10,31,17:40,UTC,1019
2018,10,31,17:50,UTC,1019
2018,10,31,18:00,UTC,1019.1
2018,10,31,18:10,UTC,1019.1
2018,10,31,18:20,UTC,1019.2
2018,10,31,18:30,UTC,1019.3
2018,10,31,18:40,UTC,1019.4
2018,10,31,18:50,UTC,1019.5
2018,10,31,19:00,UTC,1019.6
2018,10,31,19:10,UTC,1019.6
2018,10,31,19:20,UTC,1019.7
2018,10,31,19:30,UTC,1019.6
2018,10,31,19:40,UTC,1019.8
2018,10,31,19:50,UTC,1019.8
2018,10,31,20:00,UTC,1019.8
2018,10,31,20:10,UTC,1019.9
2018,10,31,20:20,UTC,1020
2018,10,31,20:30,UTC,1020.1
2018,10,31,20:40,UTC,1020.2
2018,10,31,20:50,UTC,1020.3
2018,10,31,21:00,UTC,1020.4
2018,10,31,21:10,UTC,1020.6
2018,10,31,21:20,UTC,1020.8
2018,10,31,21:30,UTC,1020.8
2018,10,31,21:40,UTC,1020.8
2018,10,31,21:50,UTC,1020.9
2018,10,31,22:00,UTC,1021.1
2018,10,31,22:10,UTC,1021.1
2018,10,31,22:20,UTC,1021.1
2018,10,31,22:30,UTC,1021.3
2018,10,31,22:40,UTC,1021.5
2018,10,31,22:50,UTC,1021.5
2018,10,31,23:00,UTC,1021.6
2018,10,31,23:10,UTC,1021.6
2018,10,31,23:20,UTC,1021.7
2018,10,31,23:30,UTC,1021.7
2018,10,31,23:40,UTC,1021.8
2018,10,31,23:50,UTC,1021.9
2018,11,1,00:00,UTC,1022
2018,11,1,00:10,UTC,1022
2018,11,1,00:20,UTC,1022.2
2018,11,1,00:30,UTC,1022.2
2018,11,1,00:40,UTC,1022.3
2018,11,1,00:50,UTC,1022.4
2018,11,1,01:00,UTC,1022.5
2018,11,1,01:10,UTC,1022.6
2018,11,1,01:20,UTC,1022.8
2018,11,1,01:30,UTC,1022.8
2018,11,1,01:40,UTC,1022.9
2018,11,1,01:50,UTC,1023
2018,11,1,02:00,UTC,1023.1
2018,11,1,02:10,UTC,1023.1
2018,11,1,02:20,UTC,1023.1
2018,11,1,02:30,UTC,1023.2
2018,11,1,02:40,UTC,1023.2
2018,11,1,02:50,UTC,1023.2
2018,11,1,03:00,UTC,1023.3
2018,11,1,03:10,UTC,1023.4
2018,11,1,03:20,UTC,1023.4
2018,11,1,03:30,UTC,1023.5
2018,11,1,03:40,UTC,1023.4
2018,11,1,03:50,UTC,1023.5
2018,11,1,04:00,UTC,1023.4
2018,11,1,04:10,UTC,1023.5
2018,11,1,04:20,UTC,1023.6
2018,11,1,04:30,UTC,1023.7
2018,11,1,04:40,UTC,1023.7
2018,11,1,04:50,UTC,1024
2018,11,1,05:00,UTC,1024.1
2018,11,1,05:10,UTC,1024.2
2018,11,1,05:20,UTC,1024.3
2018,11,1,05:30,UTC,1024.4
2018,11,1,05:40,UTC,1024.6
2018,11,1,05:50,UTC,1024.7
2018,11,1,06:00,UTC,1025
2018,11,1,06:10,UTC,1025.1
2018,11,1,06:20,UTC,1025.1
2018,11,1,06:30,UTC,1025.3
2018,11,1,06:40,UTC,1025.4
2018,11,1,06:50,UTC,1025.6
2018,11,1,07:00,UTC,1025.7
2018,11,1,07:10,UTC,1025.9
2018,11,1,07:20,UTC,1026
2018,11,1,07:30,UTC,1026.2
2018,11,1,07:40,UTC,1026.4
2018,11,1,07:50,UTC,1026.4
2018,11,1,08:00,UTC,1026.4
2018,11,1,08:10,UTC,1026.4
2018,11,1,08:20,UTC,1026.4
2018,11,1,08:30,UTC,1026.5
2018,11,1,08:40,UTC,1026.6
2018,11,1,08:50,UTC,1026.5
2018,11,1,09:00,UTC,1026.6
2018,11,1,09:10,UTC,1026.7
2018,11,1,09:20,UTC,1026.8
2018,11,1,09:30,UTC,1026.8
2018,11,1,09:40,UTC,1026.8
2018,11,1,09:50,UTC,1026.7
2018,11,1,10:00,UTC,1026.8
2018,11,1,10:10,UTC,1026.9
2018,11,1,10:20,UTC,1027
2018,11,1,10:30,UTC,1026.9
2018,11,1,10:40,UTC,1027.1
2018,11,1,10:50,UTC,1027.1
2018,11,1,11:00,UTC,1027.1
2018,11,1,11:10,UTC,1027
2018,11,1,11:20,UTC,1027
2018,11,1,11:30,UTC,1027.1
2018,11,1,11:40,UTC,1027.2
2018,11,1,11:50,UTC,1027.1
2018,11,1,12:00,UTC,1027.1
2018,11,1,12:10,UTC,1027.2
2018,11,1,12:20,UTC,1027
2018,11,1,12:30,UTC,1027
2018,11,1,12:40,UTC,1027.2
2018,11,1,12:50,UTC,1027.2
2018,11,1,13:00,UTC,1027.2
2018,11,1,13:10,UTC,1027.1
2018,11,1,13:20,UTC,1027.1
2018,11,1,13:30,UTC,1027.1
2018,11,1,13:40,UTC,1027.2
2018,11,1,13:50,UTC,1027.2
2018,11,1,14:00,UTC,1027.2
2018,11,1,14:10,UTC,1027.2
2018,11,1,14:20,UTC,1027.4
2018,11,1,14:30,UTC,1027.3
2018,11,1,14:40,UTC,1027.4
2018,11,1,14:50,UTC,1027.4
2018,11,1,15:00,UTC,1027.4
2018,11,1,15:10,UTC,1027.4
2018,11,1,15:20,UTC,1027.3
2018,11,1,15:30,UTC,1027.3
2018,11,1,15:40,UTC,1027.2
2018,11,1,15:50,UTC,1027.3
2018,11,1,16:00,UTC,1027.3
2018,11,1,16:10,UTC,1027.5
2018,11,1,16:20,UTC,1027.8
2018,11,1,16:30,UTC,1027.8
2018,11,1,16:40,UTC,1027.7
2018,11,1,16:50,UTC,1027.6
2018,11,1,17:00,UTC,1027.8
2018,11,1,17:10,UTC,1028
2018,11,1,17:20,UTC,1027.9
2018,11,1,17:30,UTC,1027.7
2018,11,1,17:40,UTC,1027.5
2018,11,1,17:50,UTC,1027.5
2018,11,1,18:00,UTC,1027.5
2018,11,1,18:10,UTC,1027.5
2018,11,1,18:20,UTC,1027.5
2018,11,1,18:30,UTC,1027.5
2018,11,1,18:40,UTC,1027.5
2018,11,1,18:50,UTC,1027.3
2018,11,1,19:00,UTC,1027.3
2018,11,1,19:10,UTC,1027.4
2018,11,1,19:20,UTC,1027.4
2018,11,1,19:30,UTC,1027.2
2018,11,1,19:40,UTC,1027.2
2018,11,1,19:50,UTC,1027.4
2018,11,1,20:00,UTC,1027.5
2018,11,1,20:10,UTC,1027.5
2018,11,1,20:20,UTC,1027.4
2018,11,1,20:30,UTC,1027.3
2018,11,1,20:40,UTC,1027.3
2018,11,1,20:50,UTC,1027.4
2018,11,1,21:00,UTC,1027.3
2018,11,1,21:10,UTC,1027.2
2018,11,1,21:20,UTC,1027.2
2018,11,1,21:30,UTC,1027
2018,11,1,21:40,UTC,1026.8
2018,11,1,21:50,UTC,1026.8
2018,11,1,22:00,UTC,1026.9
2018,11,1,22:10,UTC,1026.8
2018,11,1,22:20,UTC,1026.7
2018,11,1,22:30,UTC,1026.6
2018,11,1,22:40,UTC,1026.5
2018,11,1,22:50,UTC,1026.5
2018,11,1,23:00,UTC,1026.5
2018,11,1,23:10,UTC,1026.3
2018,11,1,23:20,UTC,1026.1
2018,11,1,23:30,UTC,1026
2018,11,1,23:40,UTC,1026
2018,11,1,23:50,UTC,1025.9
2018,11,2,00:00,UTC,1026
2018,11,2,00:10,UTC,1025.7
2018,11,2,00:20,UTC,1025.5
2018,11,2,00:30,UTC,1025.3
2018,11,2,00:40,UTC,1025.2
2018,11,2,00:50,UTC,1025.2
2018,11,2,01:00,UTC,1025.1
2018,11,2,01:10,UTC,1025
2018,11,2,01:20,UTC,1024.9
2018,11,2,01:30,UTC,1024.8
2018,11,2,01:40,UTC,1024.7
2018,11,2,01:50,UTC,1024.5
2018,11,2,02:00,UTC,1024.6
2018,11,2,02:10,UTC,1024.4
2018,11,2,02:20,UTC,1024.3
2018,11,2,02:30,UTC,1024.2
2018,11,2,02:40,UTC,1024
2018,11,2,02:50,UTC,1023.8
2018,11,2,03:00,UTC,1023.7
2018,11,2,03:10,UTC,1023.5
2018,11,2,03:20,UTC,1023
2018,11,2,03:30,UTC,1023
2018,11,2,03:40,UTC,1023
2018,11,2,03:50,UTC,1023.1
2018,11,2,04:00,UTC,1023
2018,11,2,04:10,UTC,1022.9
2018,11,2,04:20,UTC,1022.9
2018,11,2,04:30,UTC,1022.4
2018,11,2,04:40,UTC,1022.5
2018,11,2,04:50,UTC,1022.4
2018,11,2,05:00,UTC,1022.5
2018,11,2,05:10,UTC,1022.4
2018,11,2,05:20,UTC,1022.4
2018,11,2,05:30,UTC,1022.1
2018,11,2,05:40,UTC,1022.2
2018,11,2,05:50,UTC,1022.2
2018,11,2,06:00,UTC,1022.2
2018,11,2,06:10,UTC,1022.1
2018,11,2,06:20,UTC,1022
2018,11,2,06:30,UTC,1021.7
2018,11,2,06:40,UTC,1021.9
2018,11,2,06:50,UTC,1022
2018,11,2,07:00,UTC,1022
2018,11,2,07:10,UTC,1022
2018,11,2,07:20,UTC,1021.9
2018,11,2,07:30,UTC,1021.9
2018,11,2,07:40,UTC,1021.9
2018,11,2,07:50,UTC,1021.8
2018,11,2,08:00,UTC,1021.8
2018,11,2,08:10,UTC,1021.6
2018,11,2,08:20,UTC,1021.6
2018,11,2,08:30,UTC,1021.4
2018,11,2,08:40,UTC,1021.3
2018,11,2,08:50,UTC,1021.1
2018,11,2,09:00,UTC,1021.1
2018,11,2,09:10,UTC,1020.9
2018,11,2,09:20,UTC,1020.8
2018,11,2,09:30,UTC,1020.6
2018,11,2,09:40,UTC,1020.5
2018,11,2,09:50,UTC,1020.4
2018,11,2,10:00,UTC,1020.4
2018,11,2,10:10,UTC,1020.5
2018,11,2,10:20,UTC,1020.3
2018,11,2,10:30,UTC,1020.5
2018,11,2,10:40,UTC,1020.3
2018,11,2,10:50,UTC,1020.1
2018,11,2,11:00,UTC,1020
2018,11,2,11:10,UTC,1020
2018,11,2,11:20,UTC,1020
2018,11,2,11:30,UTC,1020
2018,11,2,11:40,UTC,1019.9
2018,11,2,11:50,UTC,1019.9
2018,11,2,12:00,UTC,1019.8
2018,11,2,12:10,UTC,1019.6
2018,11,2,12:20,UTC,1019.5
2018,11,2,12:30,UTC,1019.6
2018,11,2,12:40,UTC,1019.5
2018,11,2,12:50,UTC,1019.3
2018,11,2,13:00,UTC,1019
2018,11,2,13:10,UTC,1018.9
2018,11,2,13:20,UTC,1019
2018,11,2,13:30,UTC,1019.1
2018,11,2,13:40,UTC,1019
2018,11,2,13:50,UTC,1018.9
2018,11,2,14:00,UTC,1018.8
2018,11,2,14:10,UTC,1018.8
2018,11,2,14:20,UTC,1018.9
2018,11,2,14:30,UTC,1018.9
2018,11,2,14:40,UTC,1018.7
2018,11,2,14:50,UTC,1018.6
2018,11,2,15:00,UTC,1018.5
2018,11,2,15:10,UTC,1018.4
2018,11,2,15:20,UTC,1018.6
2018,11,2,15:30,UTC,1018.6
2018,11,2,15:40,UTC,1018.5
2018,11,2,15:50,UTC,1018.6
2018,11,2,16:00,UTC,1018.5
2018,11,2,16:10,UTC,1018.5
2018,11,2,16:20,UTC,1018.5
2018,11,2,16:30,UTC,1018.5
2018,11,2,16:40,UTC,1018.5
2018,11,2,16:50,UTC,1018.4
2018,11,2,17:00,UTC,1018.2
2018,11,2,17:10,UTC,1018.2
2018,11,2,17:20,UTC,1018.2
2018,11,2,17:30,UTC,1018.3
2018,11,2,17:40,UTC,1018.2
2018,11,2,17:50,UTC,1018.3
2018,11,2,18:00,UTC,1018.3
2018,11,2,18:10,UTC,1018.2
2018,11,2,18:20,UTC,1018.3
2018,11,2,18:30,UTC,1018.2
2018,11,2,18:40,UTC,1018.3
2018,11,2,18:50,UTC,1018.3
2018,11,2,19:00,UTC,1018.3
2018,11,2,19:10,UTC,1018.1
2018,11,2,19:20,UTC,1018.2
2018,11,2,19:30,UTC,1018.3
2018,11,2,19:40,UTC,1018.4
2018,11,2,19:50,UTC,1018.6
2018,11,2,20:00,UTC,1018.7
2018,11,2,20:10,UTC,1018.7
2018,11,2,20:20,UTC,1018.8
2018,11,2,20:30,UTC,1018.8
2018,11,2,20:40,UTC,1018.9
2018,11,2,20:50,UTC,1018.9
2018,11,2,21:00,UTC,1018.9
2018,11,2,21:10,UTC,1018.9
2018,11,2,21:20,UTC,1019
2018,11,2,21:30,UTC,1019
2018,11,2,21:40,UTC,1018.8
2018,11,2,21:50,UTC,1018.8
2018,11,2,22:00,UTC,1019
2018,11,2,22:10,UTC,1019
2018,11,2,22:20,UTC,1018.9
2018,11,2,22:30,UTC,1018.9
2018,11,2,22:40,UTC,1018.8
2018,11,2,22:50,UTC,1018.7
2018,11,2,23:00,UTC,1018.7
2018,11,2,23:10,UTC,1018.5
2018,11,2,23:20,UTC,1018.7
2018,11,2,23:30,UTC,1018.8
2018,11,2,23:40,UTC,1018.9
2018,11,2,23:50,UTC,1018.7